"id_monitoring","monitoring_at","created_at"
48,2025-03-25 09:36:05.992,2025-03-25 09:36:05.992
49,2025-03-25 09:46:06.020,2025-03-25 09:46:06.020
50,2025-03-25 09:56:05.990,2025-03-25 09:56:05.990
51,2025-03-25 10:06:05.992,2025-03-25 10:06:05.992
52,2025-03-25 10:16:06.013,2025-03-25 10:16:06.013
53,2025-03-25 10:26:05.992,2025-03-25 10:26:05.992
54,2025-03-25 10:36:05.991,2025-03-25 10:36:05.991
55,2025-03-25 10:46:06.079,2025-03-25 10:46:06.079
56,2025-03-25 10:56:05.992,2025-03-25 10:56:05.992
57,2025-03-25 11:06:05.997,2025-03-25 11:06:05.997
58,2025-03-25 11:16:06.016,2025-03-25 11:16:06.016
59,2025-03-25 11:26:05.990,2025-03-25 11:26:05.990
60,2025-03-25 11:36:05.992,2025-03-25 11:36:05.992
61,2025-03-25 11:46:06.173,2025-03-25 11:46:06.173
62,2025-03-25 11:56:05.995,2025-03-25 11:56:05.995
63,2025-03-25 12:06:05.990,2025-03-25 12:06:05.990
64,2025-03-25 12:16:06.044,2025-03-25 12:16:06.044
65,2025-03-25 12:26:05.990,2025-03-25 12:26:05.990
66,2025-03-25 12:36:05.991,2025-03-25 12:36:05.991
67,2025-03-25 12:46:06.040,2025-03-25 12:46:06.040
68,2025-03-25 12:56:05.994,2025-03-25 12:56:05.994
69,2025-03-25 13:06:05.992,2025-03-25 13:06:05.992
70,2025-03-25 13:16:06.030,2025-03-25 13:16:06.030
71,2025-03-25 13:26:05.990,2025-03-25 13:26:05.990
72,2025-03-25 13:36:05.989,2025-03-25 13:36:05.989
73,2025-03-25 13:46:06.075,2025-03-25 13:46:06.075
74,2025-03-25 13:56:05.990,2025-03-25 13:56:05.990
75,2025-03-25 14:06:05.992,2025-03-25 14:06:05.992
76,2025-03-25 14:16:06.018,2025-03-25 14:16:06.018
77,2025-03-25 14:26:05.991,2025-03-25 14:26:05.991
78,2025-03-25 14:36:06.019,2025-03-25 14:36:06.019
79,2025-03-25 14:46:06.145,2025-03-25 14:46:06.145
80,2025-03-25 14:56:05.989,2025-03-25 14:56:05.989
81,2025-03-25 15:06:06.035,2025-03-25 15:06:06.035
82,2025-03-25 15:16:06.019,2025-03-25 15:16:06.019
83,2025-03-25 15:26:05.991,2025-03-25 15:26:05.991
84,2025-03-25 15:36:06.013,2025-03-25 15:36:06.013
85,2025-03-25 15:46:06.036,2025-03-25 15:46:06.036
86,2025-03-25 15:56:05.990,2025-03-25 15:56:05.990
87,2025-03-25 16:06:06.019,2025-03-25 16:06:06.019
88,2025-03-25 16:16:06.012,2025-03-25 16:16:06.012
89,2025-03-25 16:26:05.995,2025-03-25 16:26:05.995
90,2025-03-25 16:36:06.014,2025-03-25 16:36:06.014
91,2025-03-25 16:46:06.034,2025-03-25 16:46:06.034
92,2025-03-25 16:56:05.992,2025-03-25 16:56:05.992
93,2025-03-25 17:06:06.018,2025-03-25 17:06:06.018
94,2025-03-25 17:16:06.012,2025-03-25 17:16:06.012
95,2025-03-25 17:26:05.990,2025-03-25 17:26:05.990
96,2025-03-25 17:36:06.059,2025-03-25 17:36:06.059
97,2025-03-25 17:46:05.991,2025-03-25 17:46:05.991
98,2025-03-25 17:56:05.991,2025-03-25 17:56:05.991
99,2025-03-25 18:06:06.017,2025-03-25 18:06:06.017
100,2025-03-25 18:16:05.990,2025-03-25 18:16:05.990
101,2025-03-25 18:26:05.993,2025-03-25 18:26:05.993
102,2025-03-25 18:36:06.016,2025-03-25 18:36:06.016
103,2025-03-25 18:46:05.990,2025-03-25 18:46:05.990
104,2025-03-25 18:56:05.992,2025-03-25 18:56:05.992
105,2025-03-25 19:06:06.026,2025-03-25 19:06:06.026
106,2025-03-25 19:16:05.991,2025-03-25 19:16:05.991
107,2025-03-25 19:26:05.989,2025-03-25 19:26:05.989
108,2025-03-25 19:36:06.080,2025-03-25 19:36:06.080
109,2025-03-25 19:46:05.991,2025-03-25 19:46:05.991
110,2025-03-25 19:56:05.991,2025-03-25 19:56:05.991
111,2025-03-25 20:06:06.085,2025-03-25 20:06:06.085
112,2025-03-25 20:16:05.991,2025-03-25 20:16:05.991
113,2025-03-25 20:26:05.991,2025-03-25 20:26:05.991
114,2025-03-25 20:36:06.071,2025-03-25 20:36:06.071
115,2025-03-25 20:46:05.993,2025-03-25 20:46:05.993
116,2025-03-25 20:56:05.991,2025-03-25 20:56:05.991
117,2025-03-25 21:06:06.046,2025-03-25 21:06:06.046
118,2025-03-25 21:16:05.990,2025-03-25 21:16:05.990
119,2025-03-25 21:26:05.990,2025-03-25 21:26:05.990
120,2025-03-25 21:36:06.019,2025-03-25 21:36:06.019
